2026-05-08 09:44:01.285 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1426ms | DESC=Access token refresh | ERROR=-
2026-05-08 10:08:19.072 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=920ms | DESC=Access token refresh | ERROR=-
2026-05-08 10:11:25.108 [AUDIT] ACTION=CREATE_USER | RESOURCE=User | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=1822ms | DESC=Create full user profile (person + role + auth credentials) | ERROR=could not execute statement [Data truncation: Data too long for column 'pan_number' at row 1] [insert into bank_legal_details (aadhaar_number,account_number,bank_name,esic_number,ifcs_code,pan_number,personal_information_id,pf_number,uan_number) values (?,?,?,?,?,?,?,?,?)]; SQL [insert into bank_legal_details (aadhaar_number,account_number,bank_name,esic_number,ifcs_code,pan_number,personal_information_id,pf_number,uan_number) values (?,?,?,?,?,?,?,?,?)]
2026-05-08 10:11:55.729 [AUDIT] ACTION=CREATE_USER | RESOURCE=User | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=587ms | DESC=Create full user profile (person + role + auth credentials) | ERROR=-
2026-05-08 10:15:12.867 [AUDIT] ACTION=VIEW_EMPLOYEE | RESOURCE=Employee | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=516ms | DESC=View employee record | ERROR=-
2026-05-08 10:15:13.362 [AUDIT] ACTION=VIEW_EMPLOYEE | RESOURCE=Employee | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=48ms | DESC=View employee record | ERROR=-
2026-05-08 10:34:35.797 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1411ms | DESC=Access token refresh | ERROR=-
2026-05-08 10:43:19.150 [AUDIT] ACTION=VIEW_EMPLOYEE | RESOURCE=Employee | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=95ms | DESC=View employee record | ERROR=-
2026-05-08 10:43:19.441 [AUDIT] ACTION=VIEW_EMPLOYEE | RESOURCE=Employee | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=80ms | DESC=View employee record | ERROR=-
2026-05-08 10:52:19.812 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=203ms | DESC=Access token refresh | ERROR=-
2026-05-08 11:09:38.501 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=965ms | DESC=Access token refresh | ERROR=-
2026-05-08 11:15:58.647 [AUDIT] ACTION=CREATE_USER | RESOURCE=User | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=902ms | DESC=Create full user profile (person + role + auth credentials) | ERROR=Department is required
2026-05-08 11:23:13.470 [AUDIT] ACTION=CREATE_USER | RESOURCE=User | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=263ms | DESC=Create full user profile (person + role + auth credentials) | ERROR=Department is required
2026-05-08 11:26:41.174 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=839ms | DESC=Access token refresh | ERROR=-
2026-05-08 11:26:42.377 [AUDIT] ACTION=CREATE_USER | RESOURCE=User | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=475ms | DESC=Create full user profile (person + role + auth credentials) | ERROR=Designation is required
2026-05-08 11:28:42.281 [AUDIT] ACTION=CREATE_USER | RESOURCE=User | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=1116ms | DESC=Create full user profile (person + role + auth credentials) | ERROR=Shift is required
2026-05-11 10:29:11.314 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=465ms | DESC=User login attempt | ERROR=-
2026-05-11 16:04:42.802 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=587ms | DESC=Access token refresh | ERROR=-
2026-05-11 16:47:11.270 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=62ms | DESC=Access token refresh | ERROR=-
2026-05-11 17:02:18.493 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=33ms | DESC=Access token refresh | ERROR=-
2026-05-11 17:17:27.098 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=72ms | DESC=Access token refresh | ERROR=-
2026-05-11 17:50:02.478 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=163ms | DESC=Access token refresh | ERROR=-
